,time,duration,price,date,origination,destination
0,   6:05 AM   –   7:40 AM   ,1h 35m,      $94   ,10-31-2019,Philadelphia,Boston
0,   7:44 AM   –   9:02 AM   ,1h 18m,      $94   ,10-31-2019,Philadelphia,Boston
0,   9:00 PM   –   10:15 PM   ,1h 15m,      $94   ,10-31-2019,Philadelphia,Boston
0,   6:00 AM   –   7:21 AM   ,1h 21m,      $94   ,10-31-2019,Philadelphia,Boston
0,   7:00 AM   –   8:19 AM   ,1h 19m,      $94   ,10-31-2019,Philadelphia,Boston
0,   8:45 AM   –   10:21 AM   ,1h 36m,      $94   ,10-31-2019,Philadelphia,Boston
0,   9:34 AM   –   10:56 AM   ,1h 22m,      $94   ,10-31-2019,Philadelphia,Boston
0,   9:34 AM   –   11:00 AM   ,1h 26m,      $94   ,10-31-2019,Philadelphia,Boston
0,   10:34 AM   –   11:53 AM   ,1h 19m,      $94   ,10-31-2019,Philadelphia,Boston
0,   10:35 AM   –   12:09 PM   ,1h 34m,      $94   ,10-31-2019,Philadelphia,Boston
0,   11:51 AM   –   1:27 PM   ,1h 36m,      $94   ,10-31-2019,Philadelphia,Boston
0,   1:24 PM   –   2:46 PM   ,1h 22m,      $94   ,10-31-2019,Philadelphia,Boston
0,   2:29 PM   –   3:51 PM   ,1h 22m,      $94   ,10-31-2019,Philadelphia,Boston
0,   2:49 PM   –   4:07 PM   ,1h 18m,      $104   ,10-31-2019,Philadelphia,Boston
0,   5:00 PM   –   6:38 PM   ,1h 38m,      $114   ,10-31-2019,Philadelphia,Boston
0,   4:27 PM   –   5:50 PM   ,1h 23m,      $144   ,10-31-2019,Philadelphia,Boston
0,   7:56 PM   –   9:12 PM   ,1h 16m,      $144   ,10-31-2019,Philadelphia,Boston
0,   6:20 PM   –   8:00 PM   ,1h 40m,      $194   ,10-31-2019,Philadelphia,Boston
